Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5,-6.06233771888,1,2992,33,402,4032
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.5,-20.4089714644,14,1117,101,149,1624
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.5,-4.0,0,1233,0,164,1643
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.5,-3.0,0,13559,0,1593,15902
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.5,-1.0,0,1155,0,153,1538
BreakoutDetection,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-7.92,0,3392,36,0,4032
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.5,-2.0,0,13553,0,1590,15893
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-6.19181808554,8,2991,32,397,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,0.659751368594,1,3083,2,342,4032
BreakoutDetection,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-5.28,0,3404,24,0,4032
BreakoutDetection,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.5,-4.0347092848,2,1862,14,247,2500
BreakoutDetection,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.5,-131.920209074,67,7892,643,968,10320
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.5,-2.0,0,13501,0,1582,15833
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-2.0,0,3026,0,402,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-3.65993726867,0,3020,3,405,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-1.44,0,3023,2,403,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-0.13577021912,3,3547,0,471,4730
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.5,-3.0,0,13577,0,1526,15853
BreakoutDetection,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.5,-15.0446785578,12,19594,83,2256,22695
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.5,-3.0,0,13514,0,1587,15851
BreakoutDetection,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.5,-5.3592124845,13,1841,34,237,2500
BreakoutDetection,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,4032
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.5,-3.0,0,1232,0,165,1643
BreakoutDetection,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.5,-2.0,0,4035,0,530,5315
BreakoutDetection,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.5,-60.06,0,3155,273,0,4032
BreakoutDetection,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.5,-13.4613099025,6,1717,67,233,2380
