timestamp,value,anomaly_score,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-04-01 00:00:00,21.5980110405,,0.0,0.0,0.0
2014-04-01 00:05:00,19.3213920476,0.0435924817072,0.0,0.0,0.0
2014-04-01 00:10:00,21.399938142,0.00848235884158,0.0,0.0,0.0
2014-04-01 00:15:00,18.3739156837,0.0480756247914,0.0,0.0,0.0
2014-04-01 00:20:00,18.1674987959,0.0319208994045,0.0,0.0,0.0
2014-04-01 00:25:00,20.0161807325,0.0169877463261,0.0,0.0,0.0
2014-04-01 00:30:00,18.2386488933,0.0309608958871,0.0,0.0,0.0
2014-04-01 00:35:00,19.5699592049,0.0205845161448,0.0,0.0,0.0
2014-04-01 00:40:00,21.5871124675,0.00601861360674,0.0,0.0,0.0
2014-04-01 00:45:00,18.9659321448,0.0462864178168,0.0,0.0,0.0
2014-04-01 00:50:00,20.8239031005,0.0102713167478,0.0,0.0,0.0
2014-04-01 00:55:00,19.2094615696,0.0321230646042,0.0,0.0,0.0
2014-04-01 01:00:00,18.179680221,0.0316165253147,0.0,0.0,0.0
2014-04-01 01:05:00,20.2267623256,0.0172355724953,0.0,0.0,0.0
2014-04-01 01:10:00,21.3394139621,0.0058708627986,0.0,0.0,0.0
2014-04-01 01:15:00,19.6378737934,0.0369048265756,0.0,0.0,0.0
2014-04-01 01:20:00,20.4691753058,0.0130007396187,0.0,0.0,0.0
2014-04-01 01:25:00,21.6000943906,0.00716538237899,0.0,0.0,0.0
2014-04-01 01:30:00,21.1587780509,0.0288193903072,0.0,0.0,0.0
2014-04-01 01:35:00,18.7755055976,0.0409787456152,0.0,0.0,0.0
2014-04-01 01:40:00,20.9335358375,0.0134386911162,0.0,0.0,0.0
2014-04-01 01:45:00,20.0075721006,0.0274328720737,0.0,0.0,0.0
2014-04-01 01:50:00,20.9838672315,0.00877656812194,0.0,0.0,0.0
2014-04-01 01:55:00,19.9780622021,0.0284756759454,0.0,0.0,0.0
2014-04-01 02:00:00,18.5118326564,0.0287577028058,0.0,0.0,0.0
2014-04-01 02:05:00,20.2796377868,0.014773114897,0.0,0.0,0.0
2014-04-01 02:10:00,19.9685359696,0.0172955353157,0.0,0.0,0.0
2014-04-01 02:15:00,20.0716869346,0.0161479190844,0.0,0.0,0.0
2014-04-01 02:20:00,21.5156098146,0.0044764605327,0.0,0.0,0.0
2014-04-01 02:25:00,21.5793481868,0.0240819468424,0.0,0.0,0.0
2014-04-01 02:30:00,19.8141484271,0.0393200191414,0.0,0.0,0.0
2014-04-01 02:35:00,19.8229281651,0.0181876449863,0.0,0.0,0.0
2014-04-01 02:40:00,20.0607478355,0.0162642105199,0.0,0.0,0.0
2014-04-01 02:45:00,20.0783571133,0.0160767074588,0.0,0.0,0.0
2014-04-01 02:50:00,21.8015485767,0.00217022363384,0.0,0.0,0.0
